,city_id,city_name,cloudiness_pct,country_cd,date,humidity,city_lat,city_lng,max_temp,wind_speed,date_time
56,3831208,Qaanaaq,61,GL,1621361505,64,77.484,-69.3632,25.83,4.99,2021-05-18 18:11:45
57,2638664,Salisbury,75,GB,1621361505,89,51.0693,-1.7957,57.45,11.86,2021-05-18 18:11:45
58,3694112,Paita,96,PE,1621361506,74,-5.0892,-81.1144,79.36,9.08,2021-05-18 18:11:46
59,6113335,Prince Albert,7,CA,1621361339,30,53.2001,-105.7677,79.66,10.76,2021-05-18 18:08:59
60,935215,Saint-Philippe,41,RE,1621361506,76,-21.3585,55.7679,71.22,7.74,2021-05-18 18:11:46
61,2098329,Daru,52,PG,1621361507,89,-9.0763,143.2092,79.07,17.76,2021-05-18 18:11:47
62,3899695,Ancud,100,CL,1621361507,66,-41.8697,-73.8203,57.42,7.16,2021-05-18 18:11:47
63,4032243,Vaini,77,TO,1621361508,77,-21.2,-175.2,76.89,13.82,2021-05-18 18:11:48
64,3833367,Ushuaia,75,AR,1621361508,66,-54.8,-68.3,51.46,9.22,2021-05-18 18:11:48
65,1586350,Cam Ranh,20,VN,1621361508,85,11.9214,109.1591,82.36,3.69,2021-05-18 18:11:48
66,6170031,Tuktoyaktuk,40,CA,1621361509,64,69.4541,-133.0374,35.6,10.36,2021-05-18 18:11:49
67,3369157,Cape Town,80,ZA,1621361282,62,-33.9258,18.4232,61.88,1.99,2021-05-18 18:08:02
68,3155152,Gravdal,75,NO,1621361509,100,68.1214,13.5031,44.49,19.57,2021-05-18 18:11:49
69,6137462,Saint-Augustin,6,CA,1621361510,50,51.226,-58.6502,51.84,11.25,2021-05-18 18:11:50
70,2090021,Namatanai,91,PG,1621361510,80,-3.6667,152.4333,79.81,7.94,2021-05-18 18:11:50
71,2264557,Ponta do Sol,2,PT,1621361511,59,32.6667,-17.1,75.7,3.87,2021-05-18 18:11:51
72,1337607,Kudahuvadhoo,2,MV,1621361511,75,2.6708,72.8944,84.06,10.13,2021-05-18 18:11:51
73,2171465,Clarence Town,1,AU,1621361511,95,-32.5833,151.7833,52.56,2.77,2021-05-18 18:11:51
74,6113406,Prince Rupert,100,CA,1621361362,81,54.3161,-130.3201,46.89,4.21,2021-05-18 18:09:22
75,1490356,Tabuny,87,RU,1621361512,76,52.7773,78.7896,62.74,5.01,2021-05-18 18:11:52
76,2146219,Hervey Bay,31,AU,1621361512,83,-25.2986,152.8535,64.04,13.38,2021-05-18 18:11:52
77,4020109,Atuona,73,PF,1621361513,75,-9.8,-139.0333,78.87,12.91,2021-05-18 18:11:53
78,4030556,Rikitea,17,PF,1621361513,65,-23.1203,-134.9692,74.88,14.09,2021-05-18 18:11:53
79,2191562,Dunedin,100,NZ,1621361446,66,-45.8742,170.5036,49.8,21.99,2021-05-18 18:10:46
80,178443,Wajir,100,KE,1621361514,40,1.7471,40.0573,86.65,11.81,2021-05-18 18:11:54
81,780687,Berlevåg,40,NO,1621361514,87,70.8578,29.0864,48.15,9.22,2021-05-18 18:11:54
82,2537881,Safi,70,MA,1621361514,59,32.2994,-9.2372,72.36,25.61,2021-05-18 18:11:54
83,3938415,Ilo,75,PE,1621361515,68,-17.6394,-71.3375,70.66,6.91,2021-05-18 18:11:55
84,2126199,Cherskiy,32,RU,1621361515,77,68.75,161.3,34.09,5.73,2021-05-18 18:11:55
85,6167817,Torbay,75,CA,1621361516,75,47.6666,-52.7314,51.76,10.36,2021-05-18 18:11:56
86,3355672,Lüderitz,2,NA,1621361516,54,-26.6481,15.1594,65.01,3.13,2021-05-18 18:11:56
87,2019935,Mnogovershinnyy,100,RU,1621361516,99,53.9353,139.9242,33.15,2.51,2021-05-18 18:11:56
88,5122534,Jamestown,1,US,1621361517,37,42.097,-79.2353,77.09,6.91,2021-05-18 18:11:57
89,365742,Torit,100,SS,1621361517,71,4.4133,32.5678,76.3,1.68,2021-05-18 18:11:57
90,3579761,Baillif,6,GP,1621361517,71,16.0202,-61.7463,87.3,13.65,2021-05-18 18:11:57
91,3372707,Ribeira Grande,75,PT,1621361518,94,38.5167,-28.7,68.4,9.22,2021-05-18 18:11:58
92,335288,Hāgere Hiywet,99,ET,1621361518,59,8.9833,37.85,67.21,4.43,2021-05-18 18:11:58
93,1082243,Ambilobe,16,MG,1621361519,86,-13.2,49.05,72.39,2.95,2021-05-18 18:11:59
94,986717,Kruisfontein,33,ZA,1621361519,51,-34.0033,24.7314,56.88,4.99,2021-05-18 18:11:59
95,3893726,Constitución,100,CL,1621361520,75,-35.3333,-72.4167,60.3,15.55,2021-05-18 18:12:00
96,3662252,São Paulo de Olivença,50,BR,1621361520,63,-3.3783,-68.8725,86.68,1.23,2021-05-18 18:12:00
97,5851349,Nānākuli,7,US,1621361520,73,21.3906,-158.1547,78.75,16.67,2021-05-18 18:12:00
98,2112309,Katsuura,100,JP,1621361521,95,35.1333,140.3,64.18,5.53,2021-05-18 18:12:01
99,2144528,Warrnambool,98,AU,1621361521,80,-38.3833,142.4833,49.8,11.07,2021-05-18 18:12:01
100,5905393,Bonavista,100,CA,1621361522,92,48.6499,-53.1147,53.6,9.24,2021-05-18 18:12:02
